x	error_lagrange_uniform	error_lagrange_chebyshev	error_newton_uniform	error_newton_chebyshev
-3.39918530717889	0.04452897705956414	0.044528977059564046	2.0918912045015046	2.091891204501504
-3.39818530717889	0.04537987207061352	0.045379872070613475	2.089194826818074	2.089194826818074
-3.3971853071788902	0.046238195009573935	0.04623819500957385	2.086490957053958	2.086490957053958
-3.3961853071788903	0.047104017719662716	0.047104017719662716	2.083779525128745	2.0837795251287456
-3.3951853071788904	0.04797741277486672	0.04797741277486672	2.0810604602302925	2.0810604602302925
-3.3941853071788906	0.048858453486979425	0.04885845348697941	2.078333690807681	2.0783336908076815
-3.3931853071788907	0.049747213912704785	0.04974721391270483	2.0755991445641198	2.0755991445641206
-3.3921853071788908	0.05064376886082135	0.050643768860821406	2.072856748449779	2.0728567484497775
-3.391185307178891	0.05154819389940744	0.05154819389940751	2.0701064286545594	2.0701064286545594
-3.390185307178891	0.05246056536313312	0.05246056536313301	2.0673481106008116	2.067348110600811
-3.389185307178891	0.05338096036060945	0.05338096036060935	2.0645817189359734	2.0645817189359743
-3.388185307178891	0.05430945678180582	0.05430945678180571	2.0618071775251656	2.061807177525166
-3.3871853071788913	0.055246133305531867	0.0552461333055318	2.0590244094437007	2.0590244094436994
-3.3861853071788914	0.05619106940697824	0.05619106940697817	2.0562333369695436	2.056233336969543
-3.3851853071788915	0.05714434536532742	0.05714434536532734	2.0534338815757067	2.0534338815757063
-3.3841853071788917	0.05810604227142721	0.05810604227142721	2.0506259639225686	2.0506259639225686
-3.3831853071788918	0.059076242035529525	0.05907624203552951	2.047809503850141	2.0478095038501416
-3.382185307178892	0.060055027395096605	0.06005502739509658	2.044984420370259	2.0449844203702594
-3.381185307178892	0.061042481922669325	0.06104248192266935	2.0421506316587164	2.042150631658716
-3.380185307178892	0.06203869003380574	0.062038690033805785	2.0393080550473206	2.0393080550473206
