x	f(x)	hermite_uniform(x)	hermite_chebyshev(x)
-4.037185307178836	0.2677002067496671	0.20448474335568137	-5.167996536342344
-4.036185307178836	0.26554613270634925	0.20371780238005968	-5.195212097462497
-4.0351853071788355	0.2634125350807175	0.2029507359342573	-5.22240607035066
-4.034185307178835	0.26129921760227015	0.20218354713188175	-5.2495783901188515
-4.033185307178835	0.2592059858151826	0.20141623908330172	-5.27672899199597
-4.0321853071788345	0.25713264706390826	0.20064881489568034	-5.303857811327841
-4.031185307178834	0.2550790104788426	0.1998812776729424	-5.330964783577304
-4.030185307178834	0.2530448869620584	0.19911363051576444	-5.358049844324307
-4.0291853071788335	0.251030089173116	0.19834587652157845	-5.385112929265972
-4.028185307178833	0.24903443151494414	0.19757801878456138	-5.412153974216681
-4.027185307178833	0.24705773011978854	0.1968100603956319	-5.439172915108139
-4.0261853071788325	0.245099802835231	0.1960420044424325	-5.466169687989475
-4.025185307178832	0.24316046921028742	0.1952738540093346	-5.493144229027314
-4.024185307178832	0.24123955048157722	0.19450561217742332	-5.52009647450583
-4.0231853071788315	0.23933686955956227	0.1937372820245058	-5.547026360826858
-4.022185307178831	0.23745225101485914	0.19296886662508608	-5.5739338245099495
-4.021185307178831	0.2355855210646302	0.19220036905035914	-5.600818802192441
-4.0201853071788305	0.23373650755904898	0.19143179236822114	-5.6276812306295625
-4.01918530717883	0.2319050399678356	0.19066313964325282	-5.654521046694473
-4.01818530717883	0.23009094936686775	0.18989441393670925	-5.6813381873783575
-4.0171853071788295	0.22829406842487088	0.18912561830650534	-5.708132589790505
-4.016185307178829	0.22651423139018456	0.18835675580724237	-5.734904191158365
-4.015185307178829	0.22475127407759993	0.18758782949016492	-5.761652928827636
-4.0141853071788285	0.22300503385527354	0.1868188424031761	-5.788378740262327
-4.013185307178828	0.22127534963172144	0.18604979759081694	-5.815081563044843
-4.012185307178828	0.21956206184289084	0.18528069809426667	-5.841761334876047
-4.0111853071788275	0.2178650124393031	0.18451154695134658	-5.868417993575329
-4.010185307178827	0.21618404487327397	0.18374234719649718	-5.895051477080692
-4.009185307178827	0.2145190040862163	0.18297310186076612	-5.921661723448814
-4.0081853071788265	0.2128697364960181	0.18220381397183943	-5.948248670855112
-4.007185307178826	0.2112360899844952	0.18143448655398714	-5.974812257593817
-4.006185307178826	0.2096179138849211	0.180665122628083	-6.001352422078059
-4.0051853071788255	0.2080150589696386	0.17989572521160457	-6.027869102839914
-4.004185307178825	0.20642737743774833	0.17912629731860596	-6.054362238530476
-4.003185307178825	0.20485472290287246	0.17835684195972903	-6.080831767919948
-4.0021853071788245	0.20329695038099496	0.17758736214217555	-6.107277629897672
-4.001185307178824	0.20175391627838485	0.17681786086974066	-6.13369976347223
-4.000185307178824	0.20022547837959592	0.1760483411427565	-6.160098107771503
-3.999185307178824	0.19871149583554304	0.17527880595812856	-6.186472602042721
-3.998185307178824	0.1972118291516508	0.17450925830930092	-6.2128231856525575
-3.997185307178824	0.1957263401760944	0.17373970118626456	-6.2391497980871735
-3.9961853071788243	0.1942548920881064	0.17297013757555146	-6.265452378952302
-3.9951853071788244	0.19279734938636237	0.17220057046021306	-6.291730867973282
-3.9941853071788245	0.19135357787745294	0.1714310028198406	-6.3179852049951535
-3.9931853071788246	0.18992344466442382	0.17066143763052935	-6.344215329982713
-3.9921853071788247	0.18850681813539888	0.1698918778648982	-6.370421183020575
-3.991185307178825	0.18710356795228072	0.16912232649207581	-6.396602704313235
-3.990185307178825	0.18571356503952455	0.16835278647767388	-6.422759834185134
-3.989185307178825	0.1843366815729981	0.16758326078381244	-6.448892513080725
-3.988185307178825	0.1829727909689114	0.1668137523691002	-6.47500068156453
-3.9871853071788252	0.18162176787282405	0.16604426418861784	-6.5010842803212014
-3.9861853071788254	0.18028348814873701	0.1652747991939366	-6.527143250155603
-3.9851853071788255	0.17895782886825348	0.16450536033308755	-6.553177531992832
-3.9841853071788256	0.17764466829982054	0.16373595055057036	-6.579187066878312
-3.9831853071788257	0.17634388589804773	0.162966572787343	-6.605171795977856
-3.982185307178826	0.1750553622930988	0.16219722998081668	-6.6311316605776955
-3.981185307178826	0.17377897928016708	0.1614279250648531	-6.657066602084574
-3.980185307178826	0.17251461980902058	0.1606586609697445	-6.682976562025786
-3.979185307178826	0.17126216797362326	0.1598894406222327	-6.708861482049243
-3.9781853071788262	0.17002150900183927	0.15912026694547837	-6.734721303923529
